"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1918",0.126984126984127,0.0793650793650794,0.126984126984127,0.0952380952380952,0.0793650793650794,0.0793650793650794,0.0793650793650794,0.142857142857143,0.0952380952380952,0.0952380952380952
"1919",0.158730158730159,0.0793650793650794,0.0952380952380952,0.0952380952380952,0.0793650793650794,0.0952380952380952,0.0793650793650794,0.0952380952380952,0.111111111111111,0.111111111111111
"1920",0.0806451612903226,0.112903225806452,0.112903225806452,0.0806451612903226,0.129032258064516,0.0967741935483871,0.0806451612903226,0.0806451612903226,0.129032258064516,0.0967741935483871
"1921",0.0793650793650794,0.0952380952380952,0.0793650793650794,0.0952380952380952,0.111111111111111,0.0952380952380952,0.111111111111111,0.142857142857143,0.0952380952380952,0.0952380952380952
"1922",0.0833333333333333,0.1,0.0833333333333333,0.1,0.1,0.116666666666667,0.1,0.133333333333333,0.1,0.0833333333333333
"1923",0.0983606557377049,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.114754098360656,0.0819672131147541,0.114754098360656,0.147540983606557,0.0819672131147541,0.114754098360656
"1924",0.120689655172414,0.0862068965517241,0.120689655172414,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.103448275862069,0.103448275862069,0.0862068965517241
"1925",0.078125,0.140625,0.078125,0.078125,0.09375,0.109375,0.109375,0.109375,0.09375,0.109375
"1926",0.0819672131147541,0.0983606557377049,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.114754098360656,0.0983606557377049,0.147540983606557,0.0983606557377049,0.0983606557377049
"1927",0.0847457627118644,0.135593220338983,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.101694915254237,0.135593220338983,0.101694915254237,0.101694915254237,0.0847457627118644
"1928",0.129032258064516,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.145161290322581,0.145161290322581,0.0967741935483871
"1929",0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,0.12280701754386,0.157894736842105,0.087719298245614,0.105263157894737
"1930",0.116666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.1,0.1,0.166666666666667
"1931",0.111111111111111,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.111111111111111,0.0952380952380952,0.0952380952380952,0.0793650793650794,0.111111111111111,0.111111111111111
"1932",0.0819672131147541,0.147540983606557,0.0819672131147541,0.131147540983607,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.114754098360656,0.0983606557377049,0.0819672131147541
"1933",0.0819672131147541,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.114754098360656,0.0819672131147541,0.147540983606557,0.0983606557377049,0.114754098360656
